parent_id,position,color,description,display_key,display_mode,effect_label,icon,id,layer,name,priority,stage,has_airframes,has_kinds
root,15,f4d18d,拦截机专属。直接强化该编制飞机的动能伤害。,,,,kinetic,a_kinetic_core,aircraft,钨芯弹头,0,0,true,true
root,16,e8c38a,拦截机专属。提高该编制飞机的开火频率。,,,,assembly,a_kinetic_cycle,aircraft,循环供弹机,30,0,true,true
root,17,f3c076,动能主弹穿透额外目标，逐次衰减伤害，保留比例随等级提高；同一目标不会被同一弹重复命中。,,,,pierce,a_kinetic_pierce,aircraft,贯穿弹道,110,1,true,true
root,18,ffe0a4,动能命中后向附近目标跳弹，副击不再递归触发特殊效果。,,,,ricochet,a_kinetic_ricochet,aircraft,智能跳弹,111,1,true,true
root,19,d4bcff,激光机专属。提高该编制飞机的光束伤害。,,,,laser,a_laser_crystal,aircraft,超导增幅晶体,1,0,true,true
root,20,c9b4ed,激光机专属。提高该编制飞机的开火频率。,,,,assembly,a_laser_oscillator,aircraft,高频振荡器,31,0,true,true
root,21,dcd0ff,主光束命中后折射向两个附近目标；折射束不再次折射。,,,,refraction,a_laser_refraction,aircraft,分光折射,112,1,true,true
root,22,bfa0f1,主光束叠加短时易伤标记，所有伤害读取同一有上限的标记；副击不会叠标。,,,,erosion,a_laser_erosion,aircraft,热蚀标记,113,1,true,true
root,23,ffb190,导弹机专属。直接提高该编制飞机的导弹伤害。,,,,missile,a_missile_charge,aircraft,聚能战斗部,2,0,true,true
root,24,ffc49e,导弹机专属。同时提高导弹速度与伤害。,,,,navigation,a_missile_guidance,aircraft,末段加速制导,32,0,true,true
root,25,ffa883,主导弹爆炸时生成三个小范围子弹药；子弹药不再生成集束。,,,,cluster,a_missile_cluster,aircraft,集束子弹药,114,1,true,true
root,26,f6c49f,爆炸短暂减速目标，Boss减速效果减半；同类减速取较强效果。,,,,slow,a_missile_slow,aircraft,离子滞速装药,115,1,true,true
root,27,d1b3f4,扫荡机持续命中多个不同轻甲目标后，短时提高枪机效率。,k2_dense_fire_rate_multiplier,bonus,枪机效率,kinetic,a_k2_dense_fire,aircraft,稠密火网,120,1,true,true
root,28,d1b3f4,扫荡机击毁轻甲后缩短下一次装填，每秒最多触发一次。,k2_reload_reduction_seconds,seconds,装填推进,assembly,a_k2_recovery,aircraft,破片回收,121,1,true,true
root,29,d1b3f4,猎隼机对轻甲支援单位的首次有效主击增伤。,k3_support_first_multiplier,bonus,标定首击,targeting,a_k3_marked_shot,aircraft,标定射击,122,1,true,true
root,30,d1b3f4,猎隼机移动中保留准备进度，峰值伤害降低10%。,k3_mobile_warmup_retention,percent,移动准备保留,navigation,a_k3_mobile_gun,aircraft,机动射台,123,1,true,true
root,31,d1b3f4,轰击机将一次爆炸的既定预算分为立即与延迟两次覆盖，总预算不增加。,m2_delayed_fraction,percent,延迟预算比例,cluster,a_m2_dual_zone,aircraft,双域引爆,124,1,true,true
root,32,d1b3f4,轰击机范围命中三个重甲后，强化下一次主弹；触发有冷却。,m2_next_damage_multiplier,bonus,强化主弹,missile,a_m2_shock_charge,aircraft,震荡推进,125,1,true,true
root,33,d1b3f4,鱼雷机对大型重甲主命中增伤，副爆炸不重复获益。,m3_drill_heavy_multiplier,bonus,大型重甲伤害,pierce,a_m3_drill_charge,aircraft,钻地弹芯,126,1,true,true
root,34,d1b3f4,鱼雷机附近有动能护航时缩短锁定时间。,m3_escort_lock_multiplier,percent,护航锁定时间,navigation,a_m3_escort_guidance,aircraft,护航引导,127,1,true,true
root,35,d1b3f4,长矛机短暂断锁后，恢复对原目标的部分预热。,l2_memory_fraction,percent,预热保留,laser,a_l2_charge_memory,aircraft,蓄能记忆,128,1,true,true
root,36,d1b3f4,长矛机持续照射同一能量层逐渐增伤，换目标清空。,l2_resonance_cap,percent,共鸣增伤上限,erosion,a_l2_resonance,aircraft,单点共鸣,129,1,true,true
root,37,d1b3f4,光脉冲机扩大脉冲区域，但直接伤害降低20%。,l3_pulse_radius_multiplier,bonus,脉冲半径,refraction,a_l3_wide_pulse,aircraft,宽域镜组,130,1,true,true
root,38,d1b3f4,光脉冲结束后留下短暂延迟余脉冲，不递归叠出永久控制。,l3_afterpulse_seconds,seconds,余脉冲持续,slow,a_l3_afterpulse,aircraft,延迟余脉冲,131,1,true,true
