parent_id,position,type,value
I_S16,1,number,661.406911333
I_S36,0,number,328.643207605
I_S36,1,number,738.144729775
I_S17,0,number,150.528064152
I_S17,1,number,708.178862931
I_S37,0,number,167.992646181
I_S37,1,number,790.343261393
I_S18,0,number,0.000000000
I_S18,1,number,724.000000000
I_S38,0,number,0.000000000
I_S38,1,number,808.000000000
I_S19,0,number,-150.528064152
I_S19,1,number,708.178862931
I_S39,0,number,-167.992646181
I_S39,1,number,790.343261393
I_S20,0,number,-294.477329587
I_S20,1,number,661.406911333
I_S40,0,number,-328.643207605
I_S40,1,number,738.144729775
D_S01,0,number,-129.312755504
D_S01,1,number,177.983738762
D_S21,0,number,-178.686716697
D_S21,1,number,245.941166290
D_S02,0,number,-163.491861605
D_S02,1,number,147.208733399
D_S22,0,number,-225.916026945
D_S22,1,number,203.415704333
D_S03,0,number,-190.525588833
D_S03,1,number,110.000000000
D_S23,0,number,-263.271722750
D_S23,1,number,152.000000000
D_S04,0,number,-209.232433585
D_S04,1,number,67.983738762
D_S24,0,number,-289.121180954
D_S24,1,number,93.941166290
D_S05,0,number,-218.794816981
D_S05,1,number,22.996261919
D_S25,0,number,-302.334656192
D_S25,1,number,31.776652833
D_S06,0,number,-228.060677889
D_S06,1,number,313.898593817
D_S26,0,number,-277.434639082
D_S26,1,number,381.856021345
D_S07,0,number,-288.340192285
D_S07,1,number,259.622675267
D_S27,0,number,-350.764357625
D_S27,1,number,315.829646201
D_S08,0,number,-336.017856668
D_S08,1,number,194.000000000
D_S28,0,number,-408.763990586
D_S28,1,number,236.000000000
D_S09,0,number,-369.009928323
D_S09,1,number,119.898593817
D_S29,0,number,-448.898675691
D_S29,1,number,145.856021345
D_S10,0,number,-385.874495403
D_S10,1,number,40.557043748
D_S30,0,number,-469.414334614
D_S30,1,number,49.337434662
D_S11,0,number,-326.808600275
D_S11,1,number,449.813448872
D_S31,0,number,-376.182561467
D_S31,1,number,517.770876400
D_S12,0,number,-413.188522965
D_S12,1,number,372.036617136
D_S32,0,number,-475.612688306
D_S32,1,number,428.243588070
D_S13,0,number,-481.510124504
D_S13,1,number,278.000000000
D_S33,0,number,-554.256258422
D_S33,1,number,320.000000000
D_S14,0,number,-528.787423060
D_S14,1,number,171.813448872
D_S34,0,number,-608.676170429
D_S34,1,number,197.770876400
D_S15,0,number,-552.954173825
D_S15,1,number,58.117825577
D_S35,0,number,-636.494013036
D_S35,1,number,66.898216491
D_S16,0,number,-425.556522660
D_S16,1,number,585.728303927
D_S36,0,number,-474.930483852
D_S36,1,number,653.685731455
D_S17,0,number,-538.036853646
D_S17,1,number,484.450559004
D_S37,0,number,-600.461018986
D_S37,1,number,540.657529938
D_S18,0,number,-627.002392340
D_S18,1,number,362.000000000
D_S38,0,number,-699.748526258
D_S38,1,number,404.000000000
D_S19,0,number,-688.564917798
D_S19,1,number,223.728303927
D_S39,0,number,-768.453665166
D_S39,1,number,249.685731455
D_S20,0,number,-720.033852247
D_S20,1,number,75.678607406
D_S40,0,number,-803.573691458
D_S40,1,number,84.458998320
C_S01,0,number,-218.794816981
C_S01,1,number,-22.996261919
C_S21,0,number,-302.334656192
C_S21,1,number,-31.776652833
C_S02,0,number,-209.232433585
C_S02,1,number,-67.983738762
C_S22,0,number,-289.121180954
C_S22,1,number,-93.941166290
C_S03,0,number,-190.525588833
C_S03,1,number,-110.000000000
C_S23,0,number,-263.271722750
C_S23,1,number,-152.000000000
C_S04,0,number,-163.491861605
C_S04,1,number,-147.208733399
C_S24,0,number,-225.916026945
C_S24,1,number,-203.415704333
C_S05,0,number,-129.312755504
C_S05,1,number,-177.983738762
C_S25,0,number,-178.686716697
C_S25,1,number,-245.941166290
C_S06,0,number,-385.874495403
C_S06,1,number,-40.557043748
C_S26,0,number,-469.414334614
C_S26,1,number,-49.337434662
C_S07,0,number,-369.009928323
C_S07,1,number,-119.898593817
C_S27,0,number,-448.898675691
C_S27,1,number,-145.856021345
C_S08,0,number,-336.017856668
C_S08,1,number,-194.000000000
C_S28,0,number,-408.763990586
C_S28,1,number,-236.000000000
C_S09,0,number,-288.340192285
C_S09,1,number,-259.622675267
C_S29,0,number,-350.764357625
C_S29,1,number,-315.829646201
C_S10,0,number,-228.060677889
C_S10,1,number,-313.898593817
C_S30,0,number,-277.434639082
C_S30,1,number,-381.856021345
C_S11,0,number,-552.954173825
C_S11,1,number,-58.117825577
C_S31,0,number,-636.494013036
C_S31,1,number,-66.898216491
C_S12,0,number,-528.787423060
C_S12,1,number,-171.813448872
C_S32,0,number,-608.676170429
C_S32,1,number,-197.770876400
C_S13,0,number,-481.510124504
C_S13,1,number,-278.000000000
C_S33,0,number,-554.256258422
C_S33,1,number,-320.000000000
C_S14,0,number,-413.188522965
C_S14,1,number,-372.036617136
C_S34,0,number,-475.612688306
C_S34,1,number,-428.243588070
C_S15,0,number,-326.808600275
C_S15,1,number,-449.813448872
C_S35,0,number,-376.182561467
C_S35,1,number,-517.770876400
C_S16,0,number,-720.033852247
C_S16,1,number,-75.678607406
C_S36,0,number,-803.573691458
C_S36,1,number,-84.458998320
C_S17,0,number,-688.564917798
C_S17,1,number,-223.728303927
C_S37,0,number,-768.453665166
C_S37,1,number,-249.685731455
C_S18,0,number,-627.002392340
C_S18,1,number,-362.000000000
C_S38,0,number,-699.748526258
C_S38,1,number,-404.000000000
C_S19,0,number,-538.036853646
C_S19,1,number,-484.450559004
C_S39,0,number,-600.461018986
C_S39,1,number,-540.657529938
C_S20,0,number,-425.556522660
C_S20,1,number,-585.728303927
C_S40,0,number,-474.930483852
C_S40,1,number,-653.685731455
K_N1,0,number,-40.557043748
K_N1,1,number,-385.874495403
K_N2,0,number,58.117825577
K_N2,1,number,-552.954173825
K_N3,0,number,-75.678607406
K_N3,1,number,-720.033852247
K_A1,0,number,-119.898593817
K_A1,1,number,-369.009928323
K_A2,0,number,-171.813448872
K_A2,1,number,-528.787423060
K_A3,0,number,-223.728303927
K_A3,1,number,-688.564917798
K_G1,0,number,-58.117825577
K_G1,1,number,-552.954173825
K_G2,0,number,-362.809085624
K_G2,1,number,-814.882548217
M_N1,0,number,228.060677889
M_N1,1,number,-313.898593817
M_N2,0,number,738.144729775
M_N2,1,number,-328.643207605
M_N3,0,number,789.600586510
M_N3,1,number,-573.678406237
M_A1,0,number,428.243588070
M_A1,1,number,-475.612688306
M_A2,0,number,653.685731455
M_A2,1,number,-474.930483852
M_A3,0,number,653.071471806
M_A3,1,number,-725.309349666
M_G1,0,number,540.657529938
M_G1,1,number,-600.461018986
M_G2,0,number,672.426328623
M_G2,1,number,-925.515441565
L_N1,0,number,469.414334614
L_N1,1,number,49.337434662
L_N2,0,number,721.643158982
L_N2,1,number,524.304445045
L_N3,0,number,968.358185101
L_N3,1,number,431.140841660
L_A1,0,number,708.178862931
L_A1,1,number,150.528064152
L_A2,0,number,814.882548217
L_A2,1,number,362.809085624
L_A3,0,number,1036.836456778
L_A3,1,number,220.386392267
L_G1,0,number,872.507659855
L_G1,1,number,185.457228209
L_G2,0,number,1221.272887512
L_G2,1,number,128.360952893
I_N1,0,number,40.557043748
I_N1,1,number,385.874495403
I_N2,0,number,-58.117825577
I_N2,1,number,552.954173825
I_N3,0,number,75.678607406
I_N3,1,number,720.033852247
I_A1,0,number,119.898593817
I_A1,1,number,369.009928323
I_A2,0,number,171.813448872
I_A2,1,number,528.787423060
I_A3,0,number,223.728303927
I_A3,1,number,688.564917798
I_G1,0,number,58.117825577
I_G1,1,number,552.954173825
I_G2,0,number,362.809085624
I_G2,1,number,814.882548217
D_N1,0,number,-313.898593817
D_N1,1,number,228.060677889
D_N2,0,number,-507.931274449
D_N2,1,number,226.145573550
D_N3,0,number,-585.728303927
D_N3,1,number,425.556522660
D_A1,0,number,-259.622675267
D_A1,1,number,288.340192285
D_A2,0,number,-372.036617136
D_A2,1,number,413.188522965
D_A3,0,number,-484.450559004
D_A3,1,number,538.036853646
D_G1,0,number,-449.813448872
D_G1,1,number,326.808600275
D_G2,0,number,-524.304445045
D_G2,1,number,721.643158982
C_N1,0,number,-354.455637565
C_N1,1,number,-157.813817513
C_N2,0,number,-449.813448872
C_N2,1,number,-326.808600275
C_N3,0,number,-661.406911333
C_N3,1,number,-294.477329587
C_A1,0,number,-379.521269085
C_A1,1,number,-80.669736037
C_A2,0,number,-543.850066008
C_A2,1,number,-115.598900095
C_A3,0,number,-708.178862931
C_A3,1,number,-150.528064152
C_G1,0,number,-507.931274449
C_G1,1,number,-226.145573550
C_G2,0,number,-887.113530668
C_G2,1,number,-93.239389235
M_S21,0,number,584.669092891
M_S21,1,number,-260.311451569
M_S44,0,number,661.406911333
M_S44,1,number,-294.477329587
M_S22,0,number,315.829646201
M_S22,1,number,-350.764357625
M_S45,0,number,372.036617136
M_S45,1,number,-413.188522965
M_S23,0,number,626.014464470
M_S23,1,number,-133.063482123
M_S46,0,number,708.178862931
M_S46,1,number,-150.528064152
M_N4,0,number,517.770876400
M_N4,1,number,-376.182561467
D_N4,0,number,-354.455637565
D_N4,1,number,157.813817513
I_N4,0,number,-40.557043748
I_N4,1,number,385.874495403
I_N5,0,number,-171.813448872
I_N5,1,number,528.787423060
I_N6,0,number,-223.728303927
I_N6,1,number,688.564917798
D_S41,0,number,-431.193456007
D_S41,1,number,191.979695532
