parent_id,position,currency,type,value
C_S37,0,science,integer,333
C_S18,0,science,integer,416
C_S38,0,science,integer,416
C_S19,0,science,integer,416
C_S39,0,science,integer,416
C_S20,0,science,integer,499
C_S40,0,science,integer,500
K_N1,0,science,integer,80
K_N2,0,science,integer,260
K_N3,0,science,integer,1100
K_A1,0,science,integer,18
K_A1,1,alien_points,integer,1
K_A2,0,science,integer,160
K_A2,1,alien_points,integer,3
K_A3,0,science,integer,800
K_A3,1,alien_points,integer,5
K_G1,0,science,integer,300
K_G1,1,alien_points,integer,4
K_G2,0,science,integer,4800
K_G2,1,alien_points,integer,12
M_N1,0,science,integer,60
M_N2,0,science,integer,260
M_N3,0,science,integer,1100
M_A1,0,science,integer,18
M_A1,1,alien_points,integer,1
M_A2,0,science,integer,160
M_A2,1,alien_points,integer,3
M_A3,0,science,integer,800
M_A3,1,alien_points,integer,5
M_G1,0,science,integer,300
M_G1,1,alien_points,integer,4
M_G2,0,science,integer,4800
M_G2,1,alien_points,integer,12
L_N1,0,science,integer,220
L_N2,0,science,integer,260
L_N3,0,science,integer,1100
L_A1,0,science,integer,18
L_A1,1,alien_points,integer,1
L_A2,0,science,integer,160
L_A2,1,alien_points,integer,3
L_A3,0,science,integer,800
L_A3,1,alien_points,integer,5
L_G1,0,science,integer,600
L_G1,1,alien_points,integer,8
L_G2,0,science,integer,4800
L_G2,1,alien_points,integer,12
I_N1,0,science,integer,80
I_N2,0,science,integer,260
I_N3,0,science,integer,1100
I_A1,0,science,integer,18
I_A1,1,alien_points,integer,1
I_A2,0,science,integer,160
I_A2,1,alien_points,integer,3
I_A3,0,science,integer,800
I_A3,1,alien_points,integer,5
I_G1,0,science,integer,300
I_G1,1,alien_points,integer,4
I_G2,0,science,integer,4800
I_G2,1,alien_points,integer,12
D_N1,0,science,integer,80
D_N2,0,science,integer,260
D_N3,0,science,integer,1100
D_A1,0,science,integer,18
D_A1,1,alien_points,integer,1
D_A2,0,science,integer,160
D_A2,1,alien_points,integer,3
D_A3,0,science,integer,800
D_A3,1,alien_points,integer,5
D_G1,0,science,integer,300
D_G1,1,alien_points,integer,4
D_G2,0,science,integer,4800
D_G2,1,alien_points,integer,12
C_N1,0,science,integer,80
C_N2,0,science,integer,260
C_N3,0,science,integer,1100
C_A1,0,science,integer,18
C_A1,1,alien_points,integer,1
C_A2,0,science,integer,160
C_A2,1,alien_points,integer,3
C_A3,0,science,integer,800
C_A3,1,alien_points,integer,5
C_G1,0,science,integer,420
C_G1,1,alien_points,integer,4
C_G2,0,science,integer,4800
C_G2,1,alien_points,integer,16
M_S21,0,science,integer,20
M_S44,0,science,integer,20
M_S22,0,science,integer,20
M_S45,0,science,integer,20
M_S23,0,science,integer,22
M_S46,0,science,integer,22
M_N4,0,science,integer,140
M_N4,1,minerals,integer,80
M_N4,2,energy,integer,60
D_N4,0,science,integer,24
I_N4,0,science,integer,40
I_N4,1,minerals,integer,60
I_N4,2,energy,integer,40
I_N5,0,science,integer,160
I_N5,1,minerals,integer,120
I_N5,2,energy,integer,100
I_N6,0,science,integer,640
I_N6,1,minerals,integer,240
I_N6,2,energy,integer,180
