parent_id,position,type,value
L_N1,0,string,M_N1
L_N1,1,string,I_S23
L_N2,0,string,L_N1
L_N2,1,string,L_S26
L_N3,0,string,L_N2
L_N3,1,string,L_S31
L_A1,0,string,L_S21
L_A2,0,string,L_A1
L_A2,1,string,L_S26
L_A3,0,string,L_A2
L_A3,1,string,L_S31
L_G1,0,string,L_N1
L_G1,1,string,L_A1
L_G1,2,string,L_S26
L_G2,0,string,L_G1
L_G2,1,string,L_A3
L_G2,2,string,L_S36
I_N1,0,string,I_S21
I_N1,1,string,I_S22
I_N2,0,string,I_N1
I_N2,1,string,I_S26
I_N3,0,string,I_N2
I_N3,1,string,I_S31
I_A1,0,string,I_S21
I_A2,0,string,I_A1
I_A2,1,string,I_S26
I_A3,0,string,I_A2
I_A3,1,string,I_S31
I_G1,0,string,I_N1
I_G1,1,string,I_A1
I_G1,2,string,I_S26
I_G2,0,string,I_G1
I_G2,1,string,I_A3
I_G2,2,string,I_S36
D_N1,0,string,D_S21
D_N1,1,string,D_S22
D_N2,0,string,D_N1
D_N2,1,string,D_S26
D_N3,0,string,D_N2
D_N3,1,string,D_S31
D_A1,0,string,D_S21
D_A2,0,string,D_A1
D_A2,1,string,D_S26
D_A3,0,string,D_A2
D_A3,1,string,D_S31
D_G1,0,string,D_N1
D_G1,1,string,D_A1
D_G1,2,string,D_S26
D_G2,0,string,D_G1
D_G2,1,string,D_A3
D_G2,2,string,D_S36
C_N1,0,string,C_S21
C_N1,1,string,C_S22
C_N2,0,string,C_N1
C_N2,1,string,C_S26
C_N3,0,string,C_N2
C_N3,1,string,C_S31
C_A1,0,string,C_S21
C_A2,0,string,C_A1
C_A2,1,string,C_S26
C_A3,0,string,C_A2
C_A3,1,string,C_S31
C_G1,0,string,C_N1
C_G1,1,string,C_A1
C_G1,2,string,C_S26
C_G2,0,string,C_G1
C_G2,1,string,C_A3
C_G2,2,string,C_S36
M_S21,0,string,M_S26
M_S44,0,string,M_S21
M_S22,0,string,M_N1
M_S45,0,string,M_S22
M_S23,0,string,M_S28
M_S46,0,string,M_S23
M_N4,0,string,M_N1
M_N4,1,string,M_S25
I_N4,0,string,I_S24
I_N5,0,string,I_N4
I_N5,1,string,I_S29
I_N6,0,string,I_N5
I_N6,1,string,I_S34
D_S41,0,string,D_N4
