parent_id,position,attribute,type,value
D_S04,0,death_damage_bonus,number,0.04
D_S24,0,death_damage_bonus,number,0.04
D_S05,0,death_radius_bonus,number,0.02
D_S25,0,death_radius_bonus,number,0.02
D_S06,0,health_bonus,number,0.06
D_S26,0,health_bonus,number,0.06
D_S07,0,earth_shield_bonus,number,0.06
D_S27,0,earth_shield_bonus,number,0.06
D_S08,0,repair_speed_bonus,number,0.06
D_S28,0,repair_speed_bonus,number,0.06
D_S09,0,death_damage_bonus,number,0.06
D_S29,0,death_damage_bonus,number,0.06
D_S10,0,death_radius_bonus,number,0.03
D_S30,0,death_radius_bonus,number,0.03
D_S11,0,health_bonus,number,0.08
D_S31,0,health_bonus,number,0.08
D_S12,0,earth_shield_bonus,number,0.08
D_S32,0,earth_shield_bonus,number,0.08
D_S13,0,repair_speed_bonus,number,0.08
D_S33,0,repair_speed_bonus,number,0.08
D_S14,0,death_damage_bonus,number,0.08
D_S34,0,death_damage_bonus,number,0.08
D_S15,0,death_radius_bonus,number,0.04
D_S35,0,death_radius_bonus,number,0.04
D_S16,0,health_bonus,number,0.12
D_S36,0,health_bonus,number,0.12
D_S17,0,earth_shield_bonus,number,0.12
D_S37,0,earth_shield_bonus,number,0.12
D_S18,0,repair_speed_bonus,number,0.12
D_S38,0,repair_speed_bonus,number,0.12
D_S19,0,death_damage_bonus,number,0.12
D_S39,0,death_damage_bonus,number,0.12
D_S20,0,death_radius_bonus,number,0.06
D_S40,0,death_radius_bonus,number,0.06
C_S01,0,patrol_radius_bonus,number,0.06
C_S21,0,patrol_radius_bonus,number,0.06
C_S02,0,patrol_outer_bonus,number,0.06
C_S22,0,patrol_outer_bonus,number,0.06
C_S03,0,patrol_speed_bonus,number,0.03
C_S23,0,patrol_speed_bonus,number,0.03
C_S06,0,patrol_radius_bonus,number,0.09
C_S26,0,patrol_radius_bonus,number,0.09
C_S07,0,patrol_outer_bonus,number,0.09
C_S27,0,patrol_outer_bonus,number,0.09
C_S08,0,patrol_speed_bonus,number,0.045
C_S28,0,patrol_speed_bonus,number,0.045
C_S11,0,patrol_radius_bonus,number,0.12
C_S31,0,patrol_radius_bonus,number,0.12
C_S12,0,patrol_outer_bonus,number,0.12
C_S32,0,patrol_outer_bonus,number,0.12
C_S13,0,patrol_speed_bonus,number,0.06
C_S33,0,patrol_speed_bonus,number,0.06
C_S16,0,patrol_radius_bonus,number,0.18
C_S36,0,patrol_radius_bonus,number,0.18
C_S17,0,patrol_outer_bonus,number,0.18
C_S37,0,patrol_outer_bonus,number,0.18
C_S18,0,patrol_speed_bonus,number,0.09
C_S38,0,patrol_speed_bonus,number,0.09
K_N3,0,kinetic_range_bonus,number,0.25
K_A1,0,point_defense_budget,number,0.25
K_A2,0,kinetic_suppress_seconds,number,0.2
K_A3,0,post_shield_kinetic_multiplier,number,1.4
K_A3,1,post_shield_seconds,number,3.0
K_G1,0,kinetic_burst_warmup,number,2.0
K_G1,1,kinetic_burst_multiplier,number,2.0
K_G1,2,kinetic_burst_duration,number,3.0
K_G1,3,kinetic_burst_cooldown,number,8.0
K_G2,0,point_defense_budget,number,0.5
M_A1,0,proximity_fuse_radius,number,0.3
M_A2,0,armor_breach_seconds,number,2.0
M_A2,1,breached_kinetic_heavy_coefficient,number,0.35
M_A3,0,saturation_hit_count,integer,3
M_A3,1,saturation_damage_multiplier,number,1.6
M_A3,2,saturation_cooldown,number,3.0
M_G1,0,missile_large_heavy_multiplier,number,2.0
M_G2,0,linked_factory_count,integer,3
M_G2,1,linked_factory_window,number,2.0
M_G2,2,linked_damage_multiplier,number,3.0
M_G2,3,linked_cooldown,number,8.0
L_A1,0,shield_break_stagger_seconds,number,0.4
L_A2,0,laser_regen_delay,number,2.0
L_A3,0,laser_fire_rate_bonus,number,0.12
L_G1,0,laser_damage_bonus,number,0.3
L_G2,0,shield_break_field_duration,number,2.0
L_G2,1,shield_break_field_radius,number,1.4
I_N1,0,resource_core_fraction,number,0.07
I_N2,0,science_output_bonus,number,0.25
I_N3,0,production_speed_bonus,number,0.2
I_A1,0,new_facility_boost_duration,number,20.0
I_A1,1,new_facility_boost_multiplier,number,2.0
I_A2,0,science_refund_fraction,number,0.15
I_A2,1,science_refund_delay,number,10.0
I_A3,0,mineral_kill_bonus,number,0.4
I_G1,0,science_output_multiplier,number,2.0
I_G2,0,production_lanes,integer,2
D_N1,0,health_bonus,number,0.2
D_N2,0,repair_speed_bonus,number,0.3
D_N3,0,shield_regeneration_bonus,number,0.25
D_A1,0,first_hit_multiplier,number,0.4
D_A2,0,rescue_threshold,number,0.3
D_A2,1,rescue_health_fraction,number,0.15
D_A3,0,sacrifice_shield_fraction,number,0.1
D_A3,1,sacrifice_shield_cap_per_second,number,0.02
D_G1,0,earth_shield_multiplier,number,2.0
D_G2,0,zero_shield_fraction,number,0.25
D_G2,1,zero_shield_duration,number,2.0
D_G2,2,zero_shield_cooldown,number,30.0
C_N1,0,all_target_range_multiplier,number,1.2
C_N2,0,strategic_enabled,bool,true
C_N2,1,strategic_speed_multiplier,number,5.0
C_N3,0,relief_patrol,bool,true
C_A1,0,intercept_boost_multiplier,number,1.5
C_A1,1,intercept_boost_duration,number,3.0
C_A1,2,intercept_boost_cooldown,number,10.0
C_A2,0,action_radius,number,62.0
C_A3,0,action_radius,number,96.0
C_G1,0,mothership_attack,bool,true
C_G1,1,action_radius,number,24.0
C_G2,0,action_radius,number,140.0
M_S21,0,missile_blast_radius_bonus,number,0.075
M_S44,0,missile_blast_radius_bonus,number,0.075
M_S22,0,missile_range_bonus,number,0.075
M_S45,0,missile_range_bonus,number,0.075
M_S23,0,missile_speed_bonus,number,0.1
M_S46,0,missile_speed_bonus,number,0.1
M_N4,0,missile_extra_projectiles,integer,1
I_N4,0,capacity_add,integer,1
I_N5,0,capacity_add,integer,1
I_N6,0,capacity_add,integer,1
D_N1,1,shield_building_limit_add,number,1.0
D_N2,1,shield_building_limit_add,number,1.0
D_N3,1,shield_building_limit_add,number,1.0
D_G1,1,shield_building_limit_add,number,2.0
D_G2,3,shield_building_limit_add,number,2.0
D_N4,0,shield_building_limit_add,number,1.0
D_S41,0,earth_repair_rate,number,0.02
